Content,Tweet,text,compound,polarity
aman okowi banyak rakyat tewas misterius  petugas  pemilu  alasan polisi karena kelelahan tidak mungkin kelelahan sampai  org yg tewas elum lagi anjuruhan  orang tewas termasuk anak karena berdesakan setelah polisi tembak gas air mata pelakunya angin,"['merdeka', 'nation', 'negara', 'nation', 'mblo', 'bkn', 'negara', 'susah', 'rakyat', 'tp', 'isi', 'negara', 'guna', 'milu', 'pilih', 'isi', 'tp', 'gpp', 'yuk', 'makan', 'sehat', '5', 'sempurna', 'lupa', 'minum', 'susu', 'bsk', 'pus', 'cari', 'negara', 'bangsa', 'demokrasi']",merdeka nation negara nation mblo bkn negara susah rakyat tp isi negara guna milu pilih isi tp gpp yuk makan sehat 5 sempurna lupa minum susu bsk pus cari negara bangsa demokrasi,-18,negative
agi deket pemilu lebih baik kalo malem diem di rumahkosan gausah aneh aneh deh,"['mari', 'aktif', 'jaga', 'situasi', 'kondusif', 'lancar', 'milu', '2024', 'milu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",mari aktif jaga situasi kondusif lancar milu 2024 milu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,3,positive
oeldoko epala taf residen mau begal artai emokrat irli ahuri atas desakan  dan uzzerp mau kriminalisasi nies aswedan sampai mencopot pimpinan  ndar dsb okowi mau emilu damai tur dulu anak buahnya yg bener,"['dalang', '20', '2008', 'unt', 'jegal', 'sby', 'periode', 'ke2', 'oleh', 'suara', 'pd', 'lbh', '20', 'milu', '2009', 'gagal', 'skrg', 'tantang', 'koalisi', 'pilpres', '2024', 'mentang', '2', 'usung', 'koalisi', 'terus', 'antem', 'anies', 'menang', 'mudah']",dalang 20 2008 unt jegal sby periode ke2 oleh suara pd lbh 20 milu 2009 gagal skrg tantang koalisi pilpres 2024 mentang 2 usung koalisi terus antem anies menang mudah,-12,negative
mg dlu indo awalnya ada karena pemilu an nggak tu kesepakatan ya lewat perjanjian lewat diplomasi ada juga mgkin yg lewat todongan senjata  enentukan pemimpinwakil juga gak harus pake pemilu bisa lewat delegasi dewan buruh tani masyarakat adat  tau tanpa negara,"['sahabatbawaslu', 'bawaslu', 'kabupaten', 'barito', 'selatan', 'selamat', 'ulang', 'tahun', 'bawaslu', 'ke15th', '9', 'april', '2023', 'sinergi', 'awas', 'jaga', 'demokrasi', 'rakyat', 'awas', 'milu', 'bawaslu', 'tegak', 'adil', 'milu', 'hutbawaslu', '15', 'sinergimengawasi', 'jagademokrasi']",sahabatbawaslu bawaslu kabupaten barito selatan selamat ulang tahun bawaslu ke15th 9 april 2023 sinergi awas jaga demokrasi rakyat awas milu bawaslu tegak adil milu hutbawaslu 15 sinergimengawasi jagademokrasi,7,positive
elang elaksanaan emilu da urul arida erus uatkan emokrasi di asyarakat â,"['jokowi', 'rakyat', 'tewas', 'misterius', '890', 'tugas', 'kpps', 'milu', '2019', 'alas', 'polisi', 'lelah', 'lelah', '890', 'org', 'tewas', 'kanjuruhan', '135', 'tewas', 'anak', '2', 'desa', 'polisi', 'tembak', 'gas', 'air', 'laku', 'angin']",jokowi rakyat tewas misterius 890 tugas kpps milu 2019 alas polisi lelah lelah 890 org tewas kanjuruhan 135 tewas anak 2 desa polisi tembak gas air laku angin,-24,negative
abupaten akpak harat melaksanakan apat leno enetapan aftar emilih ementara  emilu  abu  di edung  emkab akpak harat,"['deket', 'milu', 'kalo', 'malem', 'diem', 'rumahkosan', 'gausah', 'aneh', 'aneh', 'deh']",deket milu kalo malem diem rumahkosan gausah aneh aneh deh,-5,negative
masa lm pemilusemua partai ini gi tunggu bu mega sp yg akan di usung,"['jelang', 'milu', '2024', 'polres', 'tanah', 'karo', 'rutin', 'latih', 'dalmas', 'karo', 'jelang', 'pemilhan', 'umum', 'tahun', '2024', 'polres', 'tanah', 'karo', 'laksana', 'latih', 'kendali', 'massa', 'dalmas', 'sabtu', '08032023', 'pagi', 'halaman', 'mapolres', 'tanah', 'karo', 'polrestanahkaro']",jelang milu 2024 polres tanah karo rutin latih dalmas karo jelang pemilhan umum tahun 2024 polres tanah karo laksana latih kendali massa dalmas sabtu 08032023 pagi halaman mapolres tanah karo polrestanahkaro,7,positive
yain aja udah mulai deket pemilu gaes,"['perrpu', 'milu', '2024', 'sah', 'undang', 'undang', 'laksana', 'milu', 'jalan', 'sesuai', 'tahap', 'aparatur', 'negara', 'netral', 'selenggara', 'milu', '2024', 'tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",perrpu milu 2024 sah undang undang laksana milu jalan sesuai tahap aparatur negara netral selenggara milu 2024 tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,10,positive
erakan juga kalau mau efektif atau dianggap punya urgensi khusus maka perlu dirancang agar bisa tajam   engan ukuran pencapaian dan gagasan yg bisa dipahami bersama  harus rasional   urang setahun emilu minta bongkaran epublik itu jelas gak rasional,"['moeldoko', 'kepala', 'staf', 'presiden', 'begal', 'partai', 'demokrat', 'firli', 'bahuri', 'desa', 'pdip', 'buzzerp', 'kriminalisasi', 'anies', 'baswedan', 'copot', 'pimpin', 'kpk', 'endar', 'dsb', 'jokowi', 'milu', 'damai', 'atur', 'anak', 'buah', 'bener']",moeldoko kepala staf presiden begal partai demokrat firli bahuri desa pdip buzzerp kriminalisasi anies baswedan copot pimpin kpk endar dsb jokowi milu damai atur anak buah bener,-6,negative
ahapan oreksi  erjenjang ilakukan untuk enetapkan umlah emilih di abupaten idoarjo  eru etyanto mengungkapkan abupaten idoarjo menetapkan jumlah pemilih pada emilu  sebanyak  dengan jumlah  sebanyak,"['moeldoko', 'kepala', 'staf', 'presiden', 'begal', 'partai', 'demokrat', 'firli', 'bahuri', 'desa', 'pdip', 'buzzerp', 'kriminalisasi', 'anies', 'baswedan', 'copot', 'pimpin', 'kpk', 'endar', 'dsb', 'jokowi', 'milu', 'damai', 'atur', 'anak', 'buah', 'bener']",moeldoko kepala staf presiden begal partai demokrat firli bahuri desa pdip buzzerp kriminalisasi anies baswedan copot pimpin kpk endar dsb jokowi milu damai atur anak buah bener,-6,negative
elesainya program pengawalan pada tahap ini seiring pelaksanaan rapat pleno terbuka rekapitulasi daftar pemilih sementara  yang dilaksanakan  idoarjo    erjuangan idoarjo erap asukan  untuk emilu,"['emg', 'dlu', 'indo', 'milu', 'nggak', 'sepakat', 'janji', 'diplomasi', 'mgkin', 'todong', 'senjata', 'tentu', 'pemimpinwakil', 'pake', 'milu', 'delegasi', 'dewan', 'buruh', 'tani', 'masyarakat', 'adat', 'negara']",emg dlu indo milu nggak sepakat janji diplomasi mgkin todong senjata tentu pemimpinwakil pake milu delegasi dewan buruh tani masyarakat adat negara,-17,negative
erjuangan idoarjo omitmen awal roses ekapitulasi  emilu     erjuangan idoarjo melalui adan aksi emilu asional  abang menuntaskan agenda pengawalan penyusunan aftar emilih asil emutakhiran,"['312', 'jelang', 'laksana', 'milu', 'ida', 'nurul', 'farida', 'kuat', 'demokrasi', 'masyarakat']",312 jelang laksana milu ida nurul farida kuat demokrasi masyarakat,2,positive
ersama akyat wasi emilu ersama awaslu egakkan eadilan emilu  ð  egawati âï¸?panwaslusangkulirangð?ï¸?  asanuddin  esa  angkulirang,"['temu', '1', 'jam', 'prabowo', 'zulhas', 'cari', 'format', 'hadap', 'milu', '2024', 'sindonews', 'bukanberitabiasa']",temu 1 jam prabowo zulhas cari format hadap milu 2024 sindonews bukanberitabiasa,-1,negative
emilu sistem tertutup dari  hakim   menyetujui  â?ï¸?â?ï¸?â?ï¸?  liweran di  groupbeneran,"['kpu', 'kabupaten', 'pakpak', 'bharat', 'laksana', 'rapat', 'pleno', 'tetap', 'daftar', 'pilih', 'dps', 'milu', '2024', 'rabu', '542023', 'gedung', 'badiklat', 'pemkab', 'pakpak', 'bharat']",kpu kabupaten pakpak bharat laksana rapat pleno tetap daftar pilih dps milu 2024 rabu 542023 gedung badiklat pemkab pakpak bharat,-3,negative
ya saya mikir nya malah karna tersandera kasus maka nya ikut tunda pemilu ternyata di begal ð¤¦â?âï¸?,"['lm', 'pemilusemua', 'partai', 'gi', 'tunggu', 'bu', 'mega', 'sp', 'usung']",lm pemilusemua partai gi tunggu bu mega sp usung,-1,negative
oney politik melanggar pasal berapa indak pidana politik uang diatur dalam asal  ayat  sampai dengan ayat   o  ahun  tentang emilu yang dibagi dalam  kategori yakni pada saat kampanye masa tenang dan saat pemungutan suara,"['jd', 'inget', 'kalimat', 'bambangpacul', 'utk', 'uu', 'ampas', 'aset', 'lobi', 'ketua', 'umum', 'partai', 'dr', 'situ', 'tarik', 'simpul', 'bkn', 'wakil', 'suara', 'rakyat', 'wakil', 'suara', 'ketua', 'umum', 'partai', 'jk', 'jg', 'milu', 'habisin', 'anggar']",jd inget kalimat bambangpacul utk uu ampas aset lobi ketua umum partai dr situ tarik simpul bkn wakil suara rakyat wakil suara ketua umum partai jk jg milu habisin anggar,6,positive
angan lupa perangkat pemilu juga stelan mereka dari awaslu sampe   plus  jadi bagaimana people power tidak di pecundangi lagi oleh mereka,"['iyain', 'aja', 'udah', 'deket', 'milu', 'gaes']",iyain aja udah deket milu gaes,0,neutral
rabowo oal emilu  ita ngin emua ejuk nggak sah orjoran ersaing,"['gera', 'efektif', 'anggap', 'urgensi', 'rancang', 'tajam', 'ukur', 'capai', 'gagas', 'paham', 'rasional', 'tahun', 'milu', 'bongkar', 'republik', 'rasional']",gera efektif anggap urgensi rancang tajam ukur capai gagas paham rasional tahun milu bongkar republik rasional,6,positive
dh x pemilu  di kampung ortu di umatera tdk mendapat kursi pdhl uhammadiyah besar di sana hawatirnya akan hattrick di emilu  dgn hobi menjilat dr ketumnya skrg,"['tahap', 'koreksi', 'dps', 'jenjang', 'tetap', 'pilih', 'kabupaten', 'sidoarjo', 'heru', 'setyanto', 'kabupaten', 'sidoarjo', 'tetap', 'pilih', 'milu', '2024', '1468302', 'tps', '5560']",tahap koreksi dps jenjang tetap pilih kabupaten sidoarjo heru setyanto kabupaten sidoarjo tetap pilih milu 2024 1468302 tps 5560,2,positive
h nggak sebelum anis curi start regulasi pemilu itu sudah hal yg jamak diketahui uga banyak situs berita kredibel yg nengutip,"['selesai', 'program', 'awal', 'tahap', 'iring', 'laksana', 'rapat', 'pleno', 'buka', 'rekapitulasi', 'daftar', 'pilih', 'dps', 'laksana', 'kpu', 'sidoarjo', 'bspn', 'pdi', 'juang', 'sidoarjo', 'serap', 'masuk', 'pac', 'milu', '2024']",selesai program awal tahap iring laksana rapat pleno buka rekapitulasi daftar pilih dps laksana kpu sidoarjo bspn pdi juang sidoarjo serap masuk pac milu 2024,-11,negative
imes bekerja sama dengan enter for igital ociety f akan menggelar diskusi dengan tema engaruh edia osial terhadap roses emilihan en  untuk akil akyat dan apres di emilu   aftar untuk dapat esertifikat dan merchandise di,"['pdi', 'juang', 'sidoarjo', 'komitmen', 'kawal', 'proses', 'rekapitulasi', 'dps', 'milu', '2024', 'dpc', 'pdi', 'juang', 'sidoarjo', 'badan', 'saksi', 'milu', 'nasional', 'bspn', 'cabang', 'tuntas', 'agenda', 'awal', 'susun', 'daftar', 'pilih', 'hasil', 'mutakhir', 'dphp']",pdi juang sidoarjo komitmen kawal proses rekapitulasi dps milu 2024 dpc pdi juang sidoarjo badan saksi milu nasional bspn cabang tuntas agenda awal susun daftar pilih hasil mutakhir dphp,3,positive
apil ustikajaya hehemayoritas warga   sekitarku  milih dia di pemilu  laluwarga dapat jatah jalan di cor dong ð?,"['rakyat', 'awas', 'milu', 'bawaslu', 'tegak', 'adil', 'milu', '08134810121', 'megawati', 'panwaslusangkulirang', '1819com', 'jl', 'hasanuddin', 'rt18', 'desa', 'bbi', 'sangkulirang']",rakyat awas milu bawaslu tegak adil milu 08134810121 megawati panwaslusangkulirang 1819com jl hasanuddin rt18 desa bbi sangkulirang,2,positive
elakar irlangga artarto elang emilu  rojo emakin enguning,"['milu', 'sistem', 'tutup', '9', 'hakim', 'mk', '7', 'tuju', 'sliweran', 'wa', 'groupbeneran']",milu sistem tutup 9 hakim mk 7 tuju sliweran wa groupbeneran,-7,negative
ahahhaha krn  adalah pemilu terakhir utk  sbg partai parlemen setelah itu jd partai gurem kek hanuraðð,"['iya', 'mikir', 'karna', 'sandera', 'tunda', 'milu', 'begal']",iya mikir karna sandera tunda milu begal,-6,negative
ukum mati lah bos ndonesia darurat pencabulan anak oy petinggi negaraanggota dewan jgn kau ribut soal pemilupilpres aja asih ukum mati dong pelaku begini ubah uu nya wooyyy,"['money', 'politik', 'langgar', 'pasal', 'tindak', 'pidana', 'politik', 'uang', 'atur', 'pasal', '523', 'ayat', '1', 'ayat', 'uu', 'no', '7', 'tahun', '2017', 'milu', 'bagi', 'kategori', 'kampanye', 'tenang', 'mungut', 'suara']",money politik langgar pasal tindak pidana politik uang atur pasal 523 ayat 1 ayat uu no 7 tahun 2017 milu bagi kategori kampanye tenang mungut suara,-14,negative
andangan wong ampung disamping kesejukan dan meriah juga emilu mesti jujur angan ada emimpin membeli suara akyat iarkan akyat bebas memilih tulah emokrasi asli bukan gadaian,"['lupa', 'perangkat', 'milu', 'stelan', 'bawaslu', 'sampe', 'kpu', 'plus', 'mk', 'people', 'power', 'cundang']",lupa perangkat milu stelan bawaslu sampe kpu plus mk people power cundang,0,neutral
eritanya sama sep posisi jokowi sblm pemilu  posisi tdk punya partai dan modal takut kecewa krn pd akhirnya di kendalikan juga ama yg mensupport beliau,"['temanpemilih', 'daftar', 'pilih', 'dps', 'milu', 'tahun', '2024', 'kabupaten', 'bondowoso', 'instagram', 'facebook', 'twitter']",temanpemilih daftar pilih dps milu tahun 2024 kabupaten bondowoso instagram facebook twitter,-4,negative
abinsa dan habinkamtibmas alurahan ukirsariirirejoarangtalun dan mogiri menghadiri undangan apat koordinasi terkait engumuman apat leno erbuka  emilu  bersama awaslu apanewon mogiri,"['prabowo', 'milik', 'potensi', 'dukung', 'capres', 'pan', '2', 'milu', 'dukung', 'tum', 'gerindra', 'itunewsupdate', 'update', 'news', 'text']",prabowo milik potensi dukung capres pan 2 milu dukung tum gerindra itunewsupdate update news text,12,positive
jadi apa ya kira pemilu  dengan bawaslu yg sekarang ini,"['prabowo', 'milu', '2024', 'sejuk', 'jorjoran', 'saing']",prabowo milu 2024 sejuk jorjoran saing,0,neutral
su pki isu alestina isu pemerintah dzolim itu artinya pemilu sudah dekat biar bisa demo utk promosikan capres caleg dan partainya iar bisa kumpulin donasi utk biaya tersebut dan memperkaya diri sendiri kroconya cukup nabung saja dan biar bisa bebas propaganda khilafah,"['sdh', '2x', 'milu', 'pan', 'kampung', 'ortu', 'sumatera', 'tdk', 'kursi', 'pdhl', 'muhammadiyah', 'khawatir', 'hattrick', 'milu', '2024', 'dgn', 'hobi', 'jilat', 'dr', 'tum', 'skrg']",sdh 2x milu pan kampung ortu sumatera tdk kursi pdhl muhammadiyah khawatir hattrick milu 2024 dgn hobi jilat dr tum skrg,-7,negative
asem onsolidasikan emenangan emilu  di ianjur dan ogor  via mediaindonesia,"['oh', 'nggak', 'anis', 'curi', 'start', 'regulasi', 'milu', 'jamak', 'situs', 'berita', 'kredibel', 'nengutip']",oh nggak anis curi start regulasi milu jamak situs berita kredibel nengutip,-8,negative
otivasi nggota raksi adapi emilu  egawati ngatkan oal  iang egara,"['idn', 'times', 'center', 'for', 'digital', 'society', 'cfds', 'gelar', 'diskusi', 'tema', 'pengaruh', 'media', 'sosial', 'proses', 'pilih', 'gen', 'wakil', 'rakyat', 'capres', 'milu', '2024', 'daftar', 'esertifikat', 'merchandise']",idn times center for digital society cfds gelar diskusi tema pengaruh media sosial proses pilih gen wakil rakyat capres milu 2024 daftar esertifikat merchandise,4,positive
awaslu ak indak olitisi agi mplop di esjid engamat emilu endatang uma asabasi olitik,"['temanpemilih', 'temanpemilih', 'tahu', 'tahap', 'susun', 'daftar', 'pilih', 'dps', 'milu', 'tahun', '2024', 'susun', 'tetap', 'kpu', 'republik', 'indonesia', 'lupa', 'cek', 'nama', 'temanpemilih']",temanpemilih temanpemilih tahu tahap susun daftar pilih dps milu tahun 2024 susun tetap kpu republik indonesia lupa cek nama temanpemilih,-7,negative
tu kan hasil dr pemilu   meraup suara banyak jd berani pasang  semoga di  perolehannya terjun bebas jd,"['dapil', 'mustikajaya', 'hehemayoritas', 'warga', 'rw', 'sekitar', 'milih', 'milu', '2019', 'laluwarga', 'jatah', 'jalan', 'cor']",dapil mustikajaya hehemayoritas warga rw sekitar milih milu 2019 laluwarga jatah jalan cor,0,neutral
ayangnya ada pungli oknum ormas ada oknum petugas malak ada oknum pejabat yg ga peduli umkm utk cari lokasi strategis yg asri aman amp mudah diakses sisanya ada oknum pejabat yg peduli umkm klo pemilu ada eksekutif ngr yg mikir bgmn majekin sampe max asil  jutabulan,"['kelakar', 'airlangga', 'hartarto', 'jelang', 'milu', '2024', 'projo', 'kuning', 'lengkapcepatberitanya', 'beritaterkini', 'berita', 'news', 'beritanasional']",kelakar airlangga hartarto jelang milu 2024 projo kuning lengkapcepatberitanya beritaterkini berita news beritanasional,-9,negative
ada hari abu tanggal  aret  anwaslu ecamatan asihan melakukan apat oordinasi ersiapan emilu terkait etralitas   olri dan erangkat esa,"['sebut', 'jokowi', 'milu', '2024', 'laksana', 'damai', 'gejolak', 'tengah', 'masyarakatnewsupdate', 'update', 'news', 'text']",sebut jokowi milu 2024 laksana damai gejolak tengah masyarakatnewsupdate update news text,0,neutral
habinkamtibmas olres olikara ecara utin erikan imbauan amtibmas elang emilu,"['hahahhaha', 'krn', '2024', 'milu', 'utk', 'pan', 'sbg', 'partai', 'parlemen', 'jd', 'partai', 'gurem', 'kek', 'hanura']",hahahhaha krn 2024 milu utk pan sbg partai parlemen jd partai gurem kek hanura,-3,negative
asihan bung arno  ama besarnya dijual oleh partaimu dan anakcucunya sekedar untuk urusan pemilu dan mungkin nanti pilpres,"['hukum', 'mati', 'bos', 'indonesia', 'darurat', 'cabul', 'anak', 'woy', 'petinggi', 'negaraanggota', 'dewan', 'kau', 'ribut', 'pemilupilpres', 'aja', 'kasih', 'hukum', 'mati', 'laku', '2', 'ubah', 'uu', 'wooyyy']",hukum mati bos indonesia darurat cabul anak woy petinggi negaraanggota dewan kau ribut pemilupilpres aja kasih hukum mati laku 2 ubah uu wooyyy,-11,negative
ementara sdh terkenal sbg partai yg mempunyai loyalis militan yg akan mengawal dgn all out dr awal hingga akhir proses pemilu dan kali ini akan bertindak sebagai pemukul balik issue pluralisme dan pemecah dukungan lawan di jawa timur amp timur indonesia,"['temanpemilih', 'daftar', 'pilih', 'dps', 'milu', 'tahun', '2024', 'kabupaten', 'bondowoso', 'pasti', 'temanpemilih', 'daftar', 'dpt', 'cek', 'pemiluserentak', '2024', 'kpumelayani', 'kpubondowoso']",temanpemilih daftar pilih dps milu tahun 2024 kabupaten bondowoso pasti temanpemilih daftar dpt cek pemiluserentak 2024 kpumelayani kpubondowoso,-7,negative
okonya astikan demi ejarah angsa ndonesia  tetap sebagai     engenai bu ota emerintahan silahkan di musyawarahkan setelah emilu ð®ð©ð?,"['sahabatbawaslu', 'sinergi', 'cegah', 'awas', 'mejaga', 'demokrasi', 'indonesia', 'milu', '2024', 'bawaslurimengawasi', 'bawasluprovinsimengawasi', 'bawaslukabupatenmengawasi', 'panwaslukecamatanmengawasi']",sahabatbawaslu sinergi cegah awas mejaga demokrasi indonesia milu 2024 bawaslurimengawasi bawasluprovinsimengawasi bawaslukabupatenmengawasi panwaslukecamatanmengawasi,1,positive
tidak ada penundaan pemilu,"['omdo', 'pandang', 'kampung', 'samping', 'sejuk', 'riah', 'milu', 'mesti', 'jujur', 'pimpin', 'beli', 'suara', 'rakyat', 'biar', 'rakyat', 'bebas', 'pilih', 'demokrasi', 'asli', 'gadai']",omdo pandang kampung samping sejuk riah milu mesti jujur pimpin beli suara rakyat biar rakyat bebas pilih demokrasi asli gadai,-9,negative
pk ayung emak   rov ateng  pu ab emak   epublik ndonesia,"['cerita', 'sep', 'posisi', 'jokowi', 'sblm', 'milu', '2014', 'posisi', 'tdk', 'partai', 'modal', 'takut', 'kecewa', 'krn', 'pd', 'kendali', 'ama', 'mensupport', 'beliau']",cerita sep posisi jokowi sblm milu 2014 posisi tdk partai modal takut kecewa krn pd kendali ama mensupport beliau,-6,negative
aya mau berak membaca headline diatas jika mengingat perilaku dia pada pemilu lalu ð?,"['selasa', '04', 'april', '2023', 'panwaslu', 'camat', 'rapat', 'koordinasi', 'siap', 'milu', '2024', 'babinsa', 'camat', 'kasihan', 'kantor', 'panwaslucam', 'kasihan', 'panwascamkasihan', 'panwasludesa', 'kapanewonkasihan', 'salamawas', 'milu', '2024', 'bawaslubantul']",selasa 04 april 2023 panwaslu camat rapat koordinasi siap milu 2024 babinsa camat kasihan kantor panwaslucam kasihan panwascamkasihan panwasludesa kapanewonkasihan salamawas milu 2024 bawaslubantul,2,positive
ah itukan berlaku untuk pemilu yg lalu ente kadanga kadangâ¦aturan kesepaktan barunya mana turan barunya hrs di sepakati  parpolika aturan pemilu lalu di pakai di luar partai itu boleh dong kampanyeâ¦,"['babinsa', 'bhabinkamtibmas', 'kalurahan', 'wukirsarigirirejokarangtalun', 'imogiri', 'hadir', 'undang', 'rapat', 'koordinasi', 'kait', 'umum', 'rapat', 'pleno', 'buka', 'dphp', 'milu', '2024', 'bawaslu', 'kapanewon', 'imogiri']",babinsa bhabinkamtibmas kalurahan wukirsarigirirejokarangtalun imogiri hadir undang rapat koordinasi kait umum rapat pleno buka dphp milu 2024 bawaslu kapanewon imogiri,0,neutral
ah kamu itu benar tidak update berita  enyelenggaraan ampanye emilu  dimulai tanggal  ovember  sampai tanggal  ebruari  ampanye emilu  berlangsung selama  hari elum waktunya malah sudah headstart,"['senin', '03', 'april', '2023', 'panwaslu', 'camat', 'kasihan', 'rapat', 'koordinasi', 'siap', 'milu', '2024', 'bhabinkamtibmas', 'desa', 'camat', 'kasihan', 'kantor', 'panwaslucam', 'kasihan', 'panwascamkasihan', 'panwaslu', 'salamawas', 'bawaslubantul', 'kapanewonkasihan', 'panwasludesa']",senin 03 april 2023 panwaslu camat kasihan rapat koordinasi siap milu 2024 bhabinkamtibmas desa camat kasihan kantor panwaslucam kasihan panwascamkasihan panwaslu salamawas bawaslubantul kapanewonkasihan panwasludesa,3,positive
m mau ksh saran aja jgn cm bisa nyiyir mending buat program buat partainya ini elektabilitas partainya aja gak jelas malah sibuk yg lain ntar klo gagal  pemilu pemerintah lg salah dianggap menjegal begitu trus polanya ð¤¦ð?»â?âï¸?,"['2', 'milu', '2024', 'bawaslu']",2 milu 2024 bawaslu,0,neutral
dalah bodoh dan tolol sekali klo di   ada buruh yg coblos kader parpol yg dukung,"['isu', 'pki', 'isu', 'palestina', 'isu', 'perintah', 'dzolim', 'milu', 'biar', 'demo', 'utk', 'promosi', 'capres', 'caleg', 'partai', 'biar', 'kumpulin', 'donasi', 'utk', 'biaya', 'kaya', 'kroco', 'nabung', 'biar', 'bebas', 'propaganda', 'khilafah']",isu pki isu palestina isu perintah dzolim milu biar demo utk promosi capres caleg partai biar kumpulin donasi utk biaya kaya kroco nabung biar bebas propaganda khilafah,-20,negative
